tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Ansible,2,284.967,134.434,115.322,35.211,0.0,100.0,23.9,11.5,21.9,15.7,1495.86,2.87,5.989,0.011,255.62,5689.79,13
Ansible,1,287.526,133.960,113.689,39.877,0.5,100.0,24.2,11.4,25.3,15.9,1495.86,2.98,6.040,0.012,200.09,5946.95,13
Ansible,2,293.463,136.604,115.681,41.178,0.0,99.2,24.4,11.5,25.5,16.0,1495.81,2.61,5.929,0.010,211.05,5561.75,13
Ansible,2,289.215,133.635,115.150,40.430,0.5,100.0,24.6,11.7,23.4,15.8,1495.87,2.79,6.013,0.011,240.01,5568.86,13
Ansible,1,296.542,137.977,117.493,41.072,0.0,100.0,24.3,11.6,24.4,15.9,1503.44,2.75,5.885,0.011,233.84,5562.59,13
Ansible,2,287.688,134.724,116.773,36.191,0.5,100.0,24.2,11.6,23.4,15.8,1541.76,2.40,6.130,0.010,245.15,5624.20,13
Ansible,2,282.846,132.586,114.964,35.296,0.0,100.0,24.2,11.5,23.1,15.9,1495.88,2.82,6.043,0.011,234.81,5572.88,13
Ansible,2,288.535,136.031,116.346,36.158,0.5,100.0,24.3,11.6,23.2,15.7,1541.94,2.91,6.110,0.012,222.09,5759.63,13
Ansible,1,288.642,135.402,117.282,35.958,0.5,100.0,24.1,11.7,25.7,16.0,1495.89,2.82,5.920,0.011,220.80,6183.46,13
Ansible,2,292.507,137.649,114.820,40.038,0.5,100.0,23.4,11.6,24.1,15.8,1495.85,2.81,5.925,0.011,206.88,5556.53,13
Ansible,2,286.243,136.025,114.582,35.636,0.5,100.0,23.9,11.8,24.0,16.1,1495.88,2.99,5.969,0.012,220.13,5566.43,13
Ansible,2,290.674,138.458,116.192,36.024,0.0,100.0,24.3,11.5,23.2,15.8,1495.90,2.96,5.874,0.012,235.81,5569.95,13
Ansible,2,285.698,133.423,116.554,35.721,0.0,100.0,23.8,11.5,23.7,15.8,1495.92,3.03,5.984,0.012,218.81,5562.52,13
Ansible,2,293.064,136.656,116.262,40.146,0.5,100.0,24.3,11.9,23.5,16.0,1495.81,2.96,5.914,0.012,239.04,5706.19,13
Ansible,2,285.588,133.010,115.368,37.210,0.5,100.0,23.3,11.3,23.2,15.8,1495.87,2.99,6.023,0.012,226.40,5551.11,13
Ansible,2,293.188,138.658,113.834,40.696,0.0,100.0,24.6,11.6,24.0,15.8,1495.95,3.03,5.925,0.012,230.90,5671.33,13
Ansible,2,292.060,137.133,115.103,39.824,0.5,100.0,23.8,11.5,23.5,15.8,1495.89,2.97,5.931,0.012,198.62,5563.86,13
Ansible,1,291.753,140.107,116.095,35.551,0.0,100.0,24.6,11.5,23.8,15.8,1496.04,2.68,5.839,0.010,218.95,5879.96,13
Ansible,2,294.637,137.318,116.078,41.241,0.0,100.0,24.9,11.5,23.6,16.0,1495.82,2.73,5.903,0.011,226.94,5577.54,13
Ansible,2,290.898,135.746,117.267,37.885,0.0,100.0,24.9,11.3,25.0,15.7,1495.51,2.77,5.911,0.011,221.25,5555.42,13
Ansible,2,293.292,139.256,116.826,37.210,0.5,100.0,24.6,11.3,23.6,15.9,1513.83,2.73,5.912,0.011,215.82,5606.07,13
Ansible,2,287.779,135.859,115.602,36.318,0.0,100.0,24.0,11.3,24.5,15.9,1495.87,2.85,5.949,0.011,211.43,5560.79,13
Ansible,2,294.956,138.976,115.727,40.253,0.5,100.0,24.9,11.6,24.7,15.9,1514.30,2.70,5.945,0.011,246.95,5575.17,13
Ansible,2,290.174,137.148,115.506,37.520,0.0,100.0,24.8,11.9,23.7,16.5,1497.67,2.93,5.928,0.012,231.59,5704.35,13
Ansible,2,295.308,138.556,116.410,40.342,0.0,100.0,24.7,11.5,25.0,16.1,1495.93,3.02,5.867,0.012,268.22,5568.78,13
