tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Chef,2,129.407,59.418,29.738,40.251,0.0,100.0,59.7,11.9,24.6,18.9,1492.74,2.44,16.743,0.027,290.00,5408.84,16
Chef,2,133.624,60.816,29.719,43.089,0.0,100.0,58.6,12.0,26.3,18.7,1490.07,2.17,16.458,0.024,287.93,5349.86,16
Chef,1,132.952,59.544,29.348,44.060,0.0,100.0,59.2,11.8,24.1,18.4,1492.53,2.20,16.790,0.025,227.69,5399.75,16
Chef,2,127.510,57.562,29.660,40.288,0.5,100.0,59.7,11.8,24.7,18.5,1489.03,2.39,17.072,0.027,249.88,5335.79,16
Chef,2,132.974,62.914,29.663,40.397,0.0,100.0,57.7,11.8,24.8,18.6,1492.44,2.28,16.121,0.025,266.12,5400.85,16
Chef,2,131.700,60.105,29.908,41.687,0.5,100.0,59.2,12.0,24.3,18.6,1492.59,2.16,16.582,0.024,266.70,5350.02,16
Chef,1,134.429,62.040,29.714,42.675,0.5,100.0,58.2,11.6,23.6,18.2,1493.33,3.68,16.275,0.040,268.67,5421.60,16
Chef,1,124.036,57.446,30.061,36.529,0.5,100.0,58.3,11.9,25.6,18.4,1492.53,2.60,17.056,0.030,312.54,5408.39,16
Chef,1,127.571,57.978,29.329,40.264,0.0,100.0,59.1,11.9,25.0,18.3,1493.04,2.74,17.101,0.031,255.09,5560.86,16
Chef,1,126.019,55.678,29.642,40.699,0.0,100.0,59.6,11.8,23.5,18.4,1470.39,2.50,17.234,0.029,276.43,5334.51,16
Chef,2,130.679,60.187,29.595,40.897,0.5,100.0,59.5,11.9,23.7,18.3,1480.72,2.18,16.492,0.024,314.76,5353.53,16
Chef,2,129.072,59.089,29.856,40.127,0.0,100.0,58.6,11.8,24.9,18.3,1492.71,2.36,16.782,0.027,276.76,5402.44,16
Chef,2,129.340,59.312,29.776,40.252,0.5,100.0,58.7,12.1,24.5,18.5,1486.66,2.47,16.688,0.028,285.74,5333.69,16
