tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
CloudFormation,2.0,152.85,86.12,39.38,27.35,0.0,100.0,46.5,11.8,27.7,16.5,1539.36,3.04,12.266,0.024,323.59,5848.62,2.0
CloudFormation,2.0,156.376,85.542,42.899,27.935,0.0,100.0,46.4,11.8,27.7,16.4,1539.08,2.24,11.983,0.017,361.71,5840.66,2.0
CloudFormation,1.0,160.179,87.933,40.135,32.111,0.0,100.0,47.2,12.1,27.7,16.5,1539.85,3.54,12.024,0.028,325.86,5963.06,2.0
CloudFormation,2.0,165.333,87.62,40.347,37.366,0.0,100.0,48.5,11.6,25.7,16.1,1538.95,2.3,12.026,0.018,383.43,5846.54,2.0
CloudFormation,2.0,159.744,87.508,41.194,31.042,0.0,100.0,47.2,11.8,27.3,16.5,1539.0,2.5,11.958,0.019,335.38,5695.3,2.0
CloudFormation,2.0,168.907,90.209,39.065,39.633,0.0,100.0,48.4,11.9,25.0,16.2,1538.93,2.02,11.904,0.016,327.54,5626.08,2.0
CloudFormation,2.0,158.474,86.871,40.924,30.679,0.0,100.0,47.3,11.8,27.3,16.3,1539.09,2.36,12.043,0.018,312.0,5829.95,2.0
CloudFormation,2.0,157.426,86.837,41.225,29.364,0.0,100.0,47.4,11.8,27.3,16.2,1539.1,2.36,12.018,0.018,354.09,5845.42,2.0
CloudFormation,2.0,155.279,86.082,41.862,27.335,0.0,100.0,46.7,11.8,29.0,16.6,1538.91,2.34,12.028,0.018,347.9,5841.59,2.0
CloudFormation,2.0,152.625,84.209,37.823,30.593,0.0,100.0,46.7,11.5,25.5,15.9,1539.09,2.71,12.612,0.022,329.02,5916.37,2.0
CloudFormation,2.0,154.215,85.228,37.096,31.891,0.0,100.0,46.7,12.1,25.9,16.0,1538.98,2.53,12.581,0.021,319.19,5648.61,2.0
CloudFormation,2.0,154.941,84.37,37.583,32.988,0.0,100.0,47.0,11.8,26.2,16.0,1539.02,2.48,12.62,0.02,336.43,5693.29,2.0
CloudFormation,2.0,162.555,88.502,39.284,34.769,0.0,100.0,48.4,12.0,27.4,16.5,1539.03,2.58,12.044,0.02,281.14,5937.15,2.0
CloudFormation,2.0,166.764,89.932,38.09,38.742,0.0,100.0,48.3,11.8,24.8,15.9,1539.05,2.36,12.022,0.018,291.56,5684.39,2.0
CloudFormation,1.0,161.101,90.397,37.545,33.159,0.0,100.0,47.8,12.2,26.5,16.3,1538.99,2.41,12.029,0.019,355.38,5692.91,2.0
CloudFormation,2.0,161.415,88.309,39.735,33.371,0.0,100.0,48.4,11.8,26.2,16.1,1539.19,2.26,12.021,0.018,340.05,5863.22,2.0
CloudFormation,1.0,154.285,83.909,38.619,31.757,0.0,100.0,47.1,12.2,28.3,16.5,1538.99,2.38,12.56,0.019,337.72,6000.58,2.0
CloudFormation,2.0,158.468,86.274,41.793,30.401,0.0,100.0,47.4,11.9,27.8,16.3,1538.95,2.14,12.017,0.017,369.42,5939.42,2.0
CloudFormation,2.0,153.807,84.247,37.463,32.097,0.0,100.0,47.4,12.0,28.0,16.3,1539.03,2.7,12.645,0.022,291.6,5674.98,2.0
CloudFormation,2.0,158.966,88.34,39.847,30.779,0.0,100.0,48.2,11.8,27.1,16.2,1538.92,2.1,12.005,0.016,297.22,5932.85,2.0
CloudFormation,1.0,159.908,88.524,40.324,31.06,0.0,100.0,48.7,11.8,29.0,16.3,1538.92,2.14,11.944,0.017,396.0,5716.09,2.0
CloudFormation,2.0,170.612,90.183,38.061,42.368,0.0,100.0,48.2,11.8,25.6,15.8,1539.17,2.27,12.002,0.018,284.16,5708.25,2.0
CloudFormation,2.0,157.447,86.19,42.122,29.135,0.0,100.0,46.8,12.1,27.3,16.5,1539.03,2.47,11.994,0.019,326.0,5968.32,2.0
CloudFormation,1.0,157.859,87.183,40.958,29.718,0.0,100.0,47.8,11.6,27.5,16.3,1538.93,2.14,12.01,0.017,290.07,6317.9,2.0
CloudFormation,2.0,159.201,88.779,39.541,30.881,0.0,100.0,47.1,11.8,28.4,16.3,1539.0,2.29,11.993,0.018,309.95,5744.26,2.0
CloudFormation,2.0,154.911,85.963,41.834,27.114,0.0,100.0,46.5,12.1,27.3,16.5,1539.11,2.4,12.043,0.019,332.21,5942.56,2.0
CloudFormation,2.0,158.707,86.314,41.757,30.636,0.0,100.0,48.9,12.0,27.2,16.6,1538.99,2.47,12.017,0.019,295.78,5879.49,2.0
CloudFormation,2.0,156.14,86.036,41.964,28.14,0.0,100.0,46.9,12.0,28.1,16.4,1539.0,2.54,12.023,0.02,306.21,5796.29,2.0
CloudFormation,2.0,155.551,85.579,36.743,33.229,0.0,100.0,47.7,12.1,24.8,16.2,1538.92,2.02,12.581,0.017,279.32,6025.25,2.0
CloudFormation,2.0,152.316,85.351,37.485,29.48,0.0,100.0,46.9,12.0,24.4,16.2,1538.96,2.45,12.529,0.02,337.68,5714.58,2.0
CloudFormation,2.0,158.338,87.903,36.77,33.665,0.0,100.0,47.8,11.7,27.8,15.9,1539.04,2.41,12.345,0.019,309.76,5683.14,2.0
CloudFormation,2.0,158.997,87.011,38.396,33.59,0.0,100.0,47.4,11.6,27.1,16.0,1539.04,2.51,12.272,0.02,310.58,5680.53,2.0
CloudFormation,1.0,154.846,86.7,39.345,28.801,0.0,100.0,46.6,11.9,27.6,16.2,1539.02,2.51,12.21,0.02,311.27,5961.37,2.0
CloudFormation,2.0,157.431,89.613,36.57,31.248,0.0,100.0,46.5,11.8,27.8,16.1,1539.03,2.32,12.197,0.018,267.54,5664.22,2.0
CloudFormation,2.0,152.218,84.809,39.913,27.496,0.0,100.0,46.4,11.8,27.7,16.4,1539.05,2.76,12.34,0.022,380.9,5708.53,2.0
CloudFormation,2.0,163.867,90.741,41.478,31.648,0.0,100.0,48.4,12.0,28.2,16.6,1538.99,2.42,11.64,0.018,328.9,5845.7,2.0
CloudFormation,1.0,159.362,86.952,40.788,31.622,0.0,100.0,46.6,11.8,27.0,16.2,1539.07,2.54,12.048,0.02,417.8,6261.22,2.0
CloudFormation,1.0,160.631,87.425,39.137,34.069,0.0,100.0,48.3,11.9,27.4,16.5,1539.04,2.59,12.16,0.02,327.79,6059.17,2.0
CloudFormation,1.0,158.674,87.334,37.335,34.005,0.0,100.0,47.6,11.6,26.4,16.0,1539.03,2.62,12.345,0.021,321.3,6163.1,2.0
CloudFormation,1.0,159.056,87.152,39.181,32.723,0.0,100.0,47.4,11.6,27.8,16.1,1538.98,2.26,12.182,0.018,344.39,5778.14,2.0
CloudFormation,1.0,153.108,84.508,39.623,28.977,0.0,100.0,46.4,11.8,27.4,16.4,1538.94,2.32,12.398,0.019,374.09,5890.44,2.0
CloudFormation,2.0,155.42,85.896,39.436,30.088,0.0,100.0,47.1,11.8,27.3,16.1,1539.06,2.62,12.28,0.021,304.1,5668.87,2.0
CloudFormation,2.0,163.165,90.001,41.609,31.555,0.0,100.0,47.2,11.8,29.6,16.5,1538.94,2.24,11.693,0.017,319.82,5781.48,2.0
CloudFormation,1.0,155.064,85.957,39.098,30.009,0.0,100.0,47.5,11.8,26.1,16.0,1538.92,2.17,12.306,0.017,292.96,6047.84,2.0
CloudFormation,2.0,155.503,88.168,36.101,31.234,0.0,100.0,46.4,11.9,24.4,15.8,1539.01,2.36,12.385,0.019,315.04,5659.36,2.0
CloudFormation,2.0,162.718,90.257,40.128,32.333,0.0,100.0,48.0,11.8,27.3,16.1,1539.02,2.43,11.804,0.019,301.37,5786.39,2.0
CloudFormation,2.0,160.366,89.561,40.88,29.925,0.0,100.0,46.6,11.8,27.8,16.4,1538.99,2.33,11.798,0.018,356.72,5792.33,2.0
CloudFormation,1.0,169.726,88.241,41.625,39.86,0.0,100.0,47.2,11.8,27.3,16.2,1538.96,2.16,11.85,0.017,321.87,5972.19,2.0
CloudFormation,2.0,157.845,88.201,41.262,28.382,0.0,100.0,47.0,11.8,28.7,16.5,1538.93,2.24,11.887,0.017,302.15,5843.37,2.0
CloudFormation,2.0,162.107,87.474,40.096,37.063,0.0,100.0,46.7,11.6,28.2,16.4,1539.13,2.45,12.079,0.019,340.66,6059.95,2.0
CloudFormation,2.0,159.709,89.639,39.692,31.412,0.0,100.0,47.7,11.6,26.7,16.4,1539.16,2.35,12.23,0.02,350.88,5670.05,2.0
CloudFormation,2.0,157.935,84.998,41.292,31.222,0.0,100.0,46.1,11.8,25.4,16.0,1538.84,2.23,12.307,0.019,323.1,5906.48,2.0
CloudFormation,1.0,161.482,88.118,38.53,29.401,0.0,100.0,47.0,11.9,26.8,16.7,1538.92,2.14,12.327,0.022,342.17,5975.51,2.0
CloudFormation,2.0,155.053,85.448,38.284,26.0,0.0,100.0,47.4,11.7,28.1,16.3,1539.02,2.59,12.611,0.018,308.08,6054.67,2.0
CloudFormation,2.0,162.81,86.209,39.498,34.229,0.0,100.0,46.9,11.8,24.9,16.0,1538.95,2.52,12.433,0.019,334.47,5870.84,2.0
CloudFormation,1.0,153.206,84.92,39.064,32.323,0.0,100.0,46.0,12.2,24.0,16.1,1539.05,2.39,12.068,0.016,302.1,5816.09,2.0
CloudFormation,2.0,162.213,88.503,35.488,34.103,0.0,100.0,47.8,11.8,26.4,16.3,1539.28,2.15,12.03,0.022,312.2,5787.43,2.0
CloudFormation,2.0,151.23,86.467,39.562,31.741,0.0,100.0,47.3,11.9,29.3,16.1,1539.09,2.23,12.612,0.021,338.84,5822.82,2.0
CloudFormation,2.0,165.364,88.546,39.71,30.045,0.0,100.0,46.5,11.9,26.9,16.7,1538.95,2.5,11.747,0.018,334.47,5973.65,2.0
CloudFormation,2.0,155.851,85.659,38.742,31.578,0.0,100.0,47.5,12.0,26.4,16.2,1539.04,2.51,12.015,0.018,377.94,5670.63,2.0
CloudFormation,1.0,159.118,89.953,39.826,33.472,0.0,100.0,48.2,11.8,25.1,16.3,1539.07,2.26,12.353,0.02,294.92,5925.74,2.0
CloudFormation,2.0,152.768,83.0,41.058,33.7,0.0,100.0,46.6,12.1,27.1,16.4,1538.89,2.5,12.103,0.021,356.43,5765.89,2.0
CloudFormation,2.0,157.281,87.061,42.927,31.734,0.0,100.0,48.9,11.8,27.5,16.1,1538.93,2.43,12.066,0.019,260.0,6158.36,2.0
CloudFormation,2.0,159.655,85.278,35.753,35.608,0.0,100.0,48.3,11.8,27.0,16.1,1538.92,3.06,11.864,0.018,326.11,5790.75,2.0
CloudFormation,2.0,150.029,87.18,42.051,38.763,0.0,100.0,47.8,11.9,25.7,16.1,1539.04,2.54,12.28,0.018,289.97,5722.62,2.0
CloudFormation,2.0,154.004,86.129,40.698,30.875,0.0,100.0,47.3,11.7,25.7,16.5,1538.99,2.63,12.137,0.018,260.0,5990.62,2.0
CloudFormation,2.0,161.352,87.806,39.234,39.388,0.0,100.0,48.4,11.6,26.6,16.3,1539.14,2.07,11.577,0.015,324.01,5828.34,2.0
CloudFormation,2.0,156.647,89.811,40.486,31.1,0.0,100.0,47.6,11.9,26.2,16.2,1538.85,2.17,12.238,0.022,323.04,6025.3,2.0
CloudFormation,2.0,159.724,86.583,38.379,32.986,0.0,100.0,48.6,11.9,26.5,16.1,1539.02,2.09,12.105,0.019,384.32,5992.38,2.0
CloudFormation,2.0,150.632,86.265,38.765,30.839,0.0,100.0,47.8,12.0,28.8,16.0,1539.23,2.0,12.183,0.021,370.01,6008.7,2.0
CloudFormation,2.0,153.538,88.656,41.883,38.028,0.0,100.0,48.6,11.5,28.0,15.8,1539.26,2.48,11.853,0.023,346.52,5600.0,2.0
CloudFormation,2.0,157.812,90.441,42.364,35.957,0.0,100.0,47.7,11.8,27.6,16.0,1538.95,2.84,12.144,0.019,336.07,5975.5,2.0
CloudFormation,2.0,162.104,86.939,38.513,29.18,0.0,100.0,48.2,11.8,27.7,16.2,1539.12,2.39,12.326,0.019,352.36,5949.9,2.0
CloudFormation,2.0,156.29,89.541,37.909,31.529,0.0,100.0,46.9,11.8,27.1,16.2,1539.19,2.27,12.058,0.016,311.91,5713.52,2.0
CloudFormation,1.0,156.608,85.841,38.3,37.644,0.0,100.0,47.3,11.7,26.7,16.5,1538.93,2.54,12.317,0.021,370.31,5758.24,2.0
CloudFormation,2.0,155.846,86.218,39.573,31.734,0.0,100.0,47.2,12.0,25.6,16.1,1538.88,2.48,12.2,0.021,371.91,5681.94,2.0
CloudFormation,1.0,163.182,88.361,38.566,29.556,0.0,100.0,47.9,11.6,26.7,16.1,1539.04,2.47,12.145,0.021,333.42,5795.15,2.0
CloudFormation,2.0,156.646,86.37,38.948,28.134,0.0,100.0,47.4,12.1,29.1,16.3,1539.04,2.3,11.999,0.02,362.96,5795.09,2.0
CloudFormation,1.0,158.669,90.792,36.609,33.362,0.0,100.0,46.3,11.4,24.7,15.9,1539.19,2.19,12.08,0.017,345.48,5671.81,2.0
CloudFormation,2.0,158.428,85.173,39.544,34.239,0.0,100.0,46.6,11.6,25.5,16.2,1539.02,2.52,12.092,0.021,309.6,6021.43,2.0
CloudFormation,1.0,159.421,90.036,39.449,30.607,0.0,100.0,46.6,12.0,26.4,16.3,1538.76,2.68,11.806,0.017,359.57,5635.37,2.0
CloudFormation,2.0,162.714,87.307,39.694,26.0,0.0,100.0,48.1,11.8,27.1,16.0,1538.95,2.31,12.187,0.021,354.27,5870.25,2.0
CloudFormation,2.0,156.45,87.865,38.73,32.112,0.0,100.0,47.2,11.8,25.9,16.4,1539.23,2.48,12.318,0.021,355.46,5892.06,2.0
CloudFormation,1.0,155.174,89.982,37.514,35.548,0.0,100.0,47.6,11.7,27.3,16.3,1538.44,2.15,11.925,0.021,335.16,5621.25,2.0
