tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
OpenTofu,1,129.238,55.770,29.619,43.849,1.0,100.0,61.4,11.5,21.2,16.4,1492.50,2.24,17.479,0.026,227.45,5404.85,2
OpenTofu,2,121.310,53.392,29.727,38.191,1.0,100.0,60.9,12.0,22.9,16.7,1492.51,2.18,17.956,0.026,230.66,5405.59,2
OpenTofu,2,123.796,54.334,29.818,39.644,0.5,100.0,60.9,12.2,20.9,16.6,1492.53,2.15,17.736,0.026,237.16,5406.63,2
OpenTofu,2,123.199,53.847,29.708,39.644,1.0,100.0,61.7,12.2,22.5,16.9,1492.55,2.49,17.863,0.030,227.31,5403.12,2
OpenTofu,2,121.833,53.573,29.892,38.368,0.5,100.0,60.6,11.9,21.5,16.5,1492.50,2.19,17.882,0.026,229.61,5401.66,2
OpenTofu,2,122.400,54.558,29.671,38.171,1.0,100.0,61.2,12.2,24.2,17.0,1492.51,2.41,17.720,0.029,219.68,5408.32,2
OpenTofu,2,120.538,52.862,29.424,38.252,1.0,100.0,60.8,11.9,21.6,16.4,1492.49,2.26,18.138,0.027,217.28,5397.09,2
OpenTofu,2,122.724,53.584,29.445,39.695,1.0,100.0,61.5,11.7,21.9,16.5,1492.55,2.22,17.976,0.027,170.30,5402.36,2
OpenTofu,2,124.849,55.527,29.709,39.613,1.0,100.0,60.8,12.2,22.2,16.8,1492.49,2.22,17.510,0.026,206.71,5405.23,2
OpenTofu,2,122.534,54.897,29.477,38.160,0.5,100.0,60.9,11.9,23.1,16.8,1492.54,2.42,17.690,0.029,170.98,5600.23,2
OpenTofu,1,121.561,53.728,29.591,38.242,2.5,100.0,62.3,12.4,22.4,17.0,1492.53,2.19,17.913,0.026,172.06,5778.56,2
OpenTofu,2,124.262,55.089,29.509,39.664,0.5,100.0,61.8,11.9,21.6,16.8,1492.34,1.88,17.640,0.022,190.68,5402.10,2
OpenTofu,1,121.413,53.203,29.544,38.666,1.0,99.5,61.5,12.0,23.5,16.9,1492.42,1.92,18.036,0.023,216.96,5400.91,2
OpenTofu,1,121.642,54.139,29.353,38.150,1.0,100.0,61.7,11.7,23.0,16.7,1492.53,2.38,17.876,0.029,193.18,5401.73,2
OpenTofu,2,123.816,54.612,29.550,39.654,1.0,100.0,60.3,11.9,22.0,16.5,1492.45,2.09,17.733,0.025,193.60,5399.87,2
OpenTofu,2,125.194,55.509,29.833,39.852,0.5,100.0,62.4,11.9,22.1,16.7,1492.62,2.50,17.490,0.029,232.86,5403.58,2
OpenTofu,2,120.017,51.887,29.613,38.517,0.5,100.0,62.1,12.1,24.1,17.2,1492.58,2.49,18.314,0.031,243.12,5409.06,2
