tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Pulumi,2,134.337,62.975,31.978,39.384,0.5,100.0,58.7,11.5,23.2,16.2,1492.61,2.30,15.719,0.024,227.78,5430.43,4
Pulumi,2,131.427,59.741,32.302,39.384,0.0,100.0,58.6,11.5,22.7,16.4,1538.58,2.18,16.716,0.024,230.66,5636.61,4
Pulumi,1,129.493,61.261,31.717,36.515,0.0,100.0,57.9,11.6,21.7,16.3,1497.80,2.34,16.109,0.025,227.95,5781.65,4
Pulumi,2,128.619,59.945,31.711,36.963,1.0,100.0,58.9,11.5,21.9,15.9,1499.15,2.36,16.356,0.026,234.57,5711.75,4
Pulumi,2,130.271,61.133,31.597,37.541,0.0,100.0,57.6,11.9,23.0,16.3,1492.55,2.42,16.096,0.026,233.02,5401.46,4
Pulumi,1,133.519,61.730,31.462,40.327,0.0,100.0,57.7,11.8,23.0,16.5,1492.48,2.09,16.015,0.022,230.66,5848.29,4
Pulumi,2,132.755,60.955,31.534,40.266,1.0,100.0,58.3,11.5,22.4,16.4,1492.53,2.54,16.137,0.027,227.48,5696.34,4
Pulumi,2,133.273,60.420,31.559,41.294,0.0,100.0,59.2,11.8,22.0,16.3,1492.55,2.27,16.227,0.025,208.73,5414.21,4
Pulumi,1,131.818,62.262,32.026,37.530,0.0,100.0,56.8,11.7,21.6,16.2,1502.02,2.68,15.930,0.028,254.90,5411.01,4
Pulumi,1,130.213,59.925,31.613,38.675,0.0,100.0,58.4,12.0,23.9,16.9,1538.62,2.19,16.809,0.024,255.15,5655.12,4
Pulumi,2,131.286,59.594,31.242,40.450,0.0,100.0,57.6,11.5,22.2,16.3,1492.61,2.52,16.432,0.028,233.70,5416.17,4
Pulumi,2,131.900,61.927,31.062,38.911,0.0,100.0,56.8,11.5,22.7,16.4,1492.56,2.49,16.051,0.027,235.20,5405.06,4
Pulumi,2,134.468,61.418,31.269,41.781,0.0,100.0,57.8,11.4,23.7,16.3,1492.50,2.19,16.103,0.024,214.12,5430.93,4
Pulumi,2,132.121,60.440,32.063,39.618,0.0,100.0,57.3,11.3,21.9,16.2,1492.52,2.14,16.135,0.023,255.47,5419.45,4
Pulumi,2,134.753,61.852,31.363,41.538,0.0,99.7,58.9,11.3,22.3,16.2,1492.52,2.13,16.012,0.023,227.43,5558.83,4
Pulumi,2,135.028,61.910,31.256,41.862,0.0,100.0,59.5,11.5,22.3,16.3,1492.52,2.22,16.020,0.024,199.46,5420.73,4
Pulumi,2,132.702,62.413,31.536,38.753,0.0,100.0,57.1,11.6,22.2,16.1,1492.53,2.15,15.887,0.023,210.47,5413.78,4
Pulumi,2,130.618,59.386,31.336,39.896,0.0,100.0,58.2,11.3,22.7,16.3,1494.55,2.23,16.474,0.025,210.92,5440.75,4
Pulumi,2,129.937,60.620,31.483,37.834,0.0,100.0,58.9,11.5,22.8,16.3,1492.53,2.28,16.205,0.025,242.52,5415.99,4
Pulumi,1,130.345,58.189,31.400,40.756,0.0,100.0,58.9,11.6,22.9,16.7,1492.55,2.15,16.660,0.024,224.88,5736.30,4
Pulumi,2,128.725,60.417,31.681,36.627,0.0,100.0,57.7,11.5,22.9,16.3,1532.69,2.28,16.642,0.025,236.71,5462.43,4
Pulumi,1,131.377,59.580,31.409,40.388,0.0,100.0,59.3,12.0,22.4,16.9,1527.74,1.94,16.790,0.021,237.66,5815.31,4
Pulumi,2,131.844,60.226,31.536,40.082,0.0,100.0,57.7,11.6,22.2,16.2,1492.53,2.34,16.265,0.026,229.35,5606.95,4
Pulumi,2,129.671,60.411,31.726,37.534,0.0,100.0,57.9,11.8,22.9,16.3,1538.67,2.48,16.700,0.027,225.89,5463.63,4
Pulumi,1,133.067,60.612,31.821,40.634,0.0,100.0,59.1,12.0,22.7,16.7,1501.75,2.28,16.247,0.025,211.57,5822.92,4
Pulumi,2,131.487,60.244,32.096,39.147,0.0,100.0,58.9,11.6,22.2,16.4,1538.64,2.46,16.663,0.027,224.16,5480.44,4
Pulumi,2,128.672,59.809,31.340,37.523,0.0,100.0,58.6,11.6,22.6,16.4,1492.61,2.29,16.375,0.025,202.63,5556.01,4
Pulumi,1,126.791,60.638,31.028,35.125,0.0,100.0,57.1,11.6,22.7,16.1,1492.54,2.11,16.282,0.023,227.11,5828.89,4
Pulumi,2,132.714,62.634,31.715,38.365,0.0,100.0,57.2,11.8,22.5,16.3,1538.66,2.29,16.308,0.024,191.01,5477.16,4
Pulumi,2,131.710,62.353,31.830,37.527,0.0,100.0,59.3,11.6,21.1,16.1,1492.57,2.04,15.848,0.022,230.31,5416.24,4
Pulumi,2,133.816,60.079,33.980,39.757,0.0,99.5,56.4,11.6,21.8,16.1,1492.52,2.18,15.868,0.023,312.08,5429.07,4
Pulumi,2,129.856,58.526,31.805,39.525,0.5,100.0,59.7,11.6,21.9,16.1,1517.84,2.30,16.803,0.025,231.75,5665.38,4
Pulumi,2,133.387,60.483,31.529,41.375,0.0,100.0,58.0,11.5,22.1,16.1,1492.55,2.28,16.221,0.025,247.27,5416.67,4
Pulumi,2,135.192,61.810,31.682,41.700,0.0,100.0,60.1,11.8,22.4,16.2,1492.55,2.32,15.964,0.025,226.50,5416.30,4
Pulumi,1,130.748,60.277,31.875,38.596,0.0,100.0,58.8,11.7,22.6,16.4,1493.98,2.41,16.212,0.026,212.26,5475.90,4
