tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Puppet,1,122.780,51.680,29.534,41.566,0.0,100.0,57.7,14.0,24.9,19.4,1452.08,2.48,17.880,0.031,264.74,4973.98,14
Puppet,1,119.529,51.668,29.537,38.324,0.5,100.0,57.8,13.4,24.5,18.7,1448.08,2.32,17.832,0.029,238.73,4926.13,14
Puppet,1,116.768,51.679,29.500,35.589,0.5,100.0,58.3,13.6,24.7,19.0,1452.01,2.40,17.887,0.030,269.37,4980.83,14
Puppet,2,123.386,53.419,29.549,40.418,0.0,100.0,56.9,13.3,24.7,18.7,1415.74,2.81,17.064,0.034,255.15,4913.89,14
Puppet,2,120.103,52.597,29.617,37.889,0.5,100.0,58.0,13.6,24.1,18.8,1451.97,2.32,17.661,0.028,254.17,4979.62,14
Puppet,2,122.173,52.482,29.360,40.331,0.0,100.0,57.8,13.5,25.2,18.6,1451.94,2.38,17.741,0.029,246.40,4982.76,14
Puppet,2,125.541,54.129,29.428,41.984,0.0,100.0,58.3,13.2,23.5,18.7,1451.82,1.73,17.375,0.021,233.06,4970.85,14
Puppet,2,121.340,54.774,29.319,37.247,0.0,100.0,56.9,13.5,22.6,18.6,1452.20,2.44,17.269,0.029,270.38,4994.02,14
Puppet,2,127.697,54.786,29.326,43.585,0.5,100.0,56.3,13.5,24.2,18.3,1429.59,1.88,16.996,0.022,242.77,4906.86,14
Puppet,2,122.628,54.462,29.373,38.793,0.0,100.0,57.0,13.4,23.9,18.5,1451.97,2.60,17.319,0.031,216.58,4979.63,14
Puppet,2,125.274,55.539,29.524,40.211,0.0,100.0,57.4,13.5,24.0,18.6,1452.05,2.07,17.070,0.024,232.06,4976.42,14
Puppet,1,132.466,52.718,29.121,50.627,0.0,100.0,57.7,13.4,24.0,18.6,1451.99,2.32,17.742,0.028,214.14,4998.65,14
Puppet,2,124.829,55.586,29.379,39.864,0.0,100.0,56.8,13.7,24.0,18.8,1452.02,2.28,17.090,0.027,235.73,4986.53,14
Puppet,1,118.008,51.447,29.102,37.459,0.0,100.0,58.1,13.7,25.3,18.8,1451.96,2.20,18.026,0.027,223.65,5006.86,14
Puppet,2,134.605,58.289,29.452,46.864,0.0,100.0,57.2,13.4,23.7,18.4,1449.90,1.87,16.525,0.021,285.34,4911.38,14
Puppet,2,131.236,58.128,29.476,43.632,0.0,100.0,57.9,13.5,23.6,18.4,1451.92,2.08,16.574,0.024,241.41,4974.40,14
Puppet,1,134.088,57.988,29.435,46.665,0.5,100.0,57.6,13.5,23.0,18.5,1451.87,1.90,16.607,0.022,234.62,4991.26,14
Puppet,2,133.661,57.886,29.416,46.359,0.0,100.0,57.5,13.7,23.5,18.4,1451.85,2.07,16.630,0.024,225.81,4978.79,14
Puppet,1,122.630,52.967,29.517,40.146,0.0,100.0,57.3,13.5,24.6,18.5,1452.58,3.11,17.610,0.038,238.91,4994.93,14
Puppet,2,123.120,53.734,29.270,40.116,0.5,100.0,57.2,13.5,23.6,18.6,1451.99,2.29,17.493,0.028,243.00,4989.31,14
Puppet,1,118.749,51.763,29.639,37.347,0.5,100.0,58.6,14.0,26.1,19.5,1451.94,2.23,17.837,0.027,276.78,4998.61,14
Puppet,2,125.022,54.328,29.512,41.182,0.0,99.5,55.9,14.0,24.2,18.7,1452.13,2.50,17.320,0.030,252.90,4978.01,14
Puppet,1,128.492,56.425,29.541,42.526,0.5,100.0,57.7,13.4,23.8,18.5,1451.90,1.89,16.889,0.022,246.32,5000.52,14
Puppet,2,120.974,52.477,29.564,38.933,0.5,100.0,57.4,13.8,25.0,18.6,1447.94,2.34,17.649,0.029,263.70,4912.40,14
Puppet,1,122.503,53.167,29.460,39.876,0.0,100.0,57.0,13.8,24.4,19.0,1451.92,1.95,17.572,0.024,255.93,4977.65,14
Puppet,2,121.297,53.021,29.478,38.798,0.0,100.0,57.3,13.8,24.8,18.9,1452.37,2.70,17.605,0.033,254.56,4986.20,14
Puppet,2,123.051,53.970,29.346,39.735,0.5,100.0,57.8,13.4,23.4,18.4,1451.96,2.27,17.427,0.027,216.41,4997.91,14
Puppet,1,123.169,52.326,29.633,41.210,0.0,100.0,57.1,13.4,23.0,18.6,1451.99,2.33,17.716,0.028,280.52,5000.31,14
Puppet,1,120.118,52.304,29.217,38.597,0.0,100.0,56.2,13.5,24.1,18.5,1452.30,2.69,17.815,0.033,223.77,4995.05,14
Puppet,1,135.750,68.829,29.646,37.275,0.0,100.0,48.5,14.2,25.3,18.8,1452.09,2.32,14.746,0.024,257.10,5140.38,14
Puppet,2,123.532,56.459,29.431,37.642,0.5,100.0,54.5,13.3,24.5,18.4,1451.96,2.22,16.905,0.026,286.89,4978.11,14
Puppet,1,120.338,53.276,29.549,37.513,0.0,100.0,57.1,13.5,22.5,18.5,1451.88,1.93,17.529,0.023,248.95,5003.86,14
Puppet,1,120.704,51.804,29.249,39.651,0.0,100.0,56.9,13.5,23.5,18.3,1426.46,2.41,17.599,0.030,233.86,4932.51,14
Puppet,1,118.739,53.479,29.083,36.177,0.0,100.0,57.2,13.4,23.4,18.4,1452.26,2.62,17.590,0.032,206.32,5000.32,14
Puppet,2,127.037,54.398,29.824,42.815,0.0,100.0,57.8,13.6,25.7,18.8,1452.21,2.24,17.243,0.027,307.45,4982.60,14
Puppet,1,131.404,57.811,29.906,43.687,0.0,100.0,56.9,13.5,24.2,18.4,1452.11,2.24,16.554,0.026,264.40,5024.16,14
Puppet,1,125.824,52.866,29.313,43.645,0.0,100.0,57.2,13.4,24.4,18.6,1452.20,2.22,17.671,0.027,230.09,4996.12,14
Puppet,1,120.700,54.054,29.350,37.296,0.5,100.0,56.5,13.3,24.0,18.8,1451.98,2.19,17.409,0.026,225.54,4983.17,14
Puppet,1,121.094,53.117,29.402,38.575,0.0,100.0,57.4,13.2,24.5,18.4,1451.96,2.17,17.595,0.026,235.70,5004.59,14
Puppet,2,127.257,55.519,29.293,42.445,0.0,100.0,57.7,13.5,23.3,18.4,1452.56,2.74,17.127,0.032,205.40,4976.46,14
Puppet,1,123.198,53.754,29.577,39.867,0.0,100.0,56.8,13.3,26.1,18.9,1452.04,2.40,17.425,0.029,260.68,5004.36,14
Puppet,2,120.042,55.227,29.379,35.436,0.0,100.0,56.4,13.3,25.6,18.6,1451.99,2.40,17.162,0.028,237.19,4984.31,14
Puppet,2,120.205,53.646,29.478,37.081,0.0,100.0,57.8,13.5,24.6,18.6,1452.39,2.73,17.473,0.033,264.79,4979.23,14
Puppet,2,122.837,53.309,29.495,40.033,0.0,99.5,56.9,13.7,24.0,18.7,1452.10,2.26,17.537,0.027,250.20,4988.79,14
Puppet,2,118.321,54.082,29.464,34.775,0.5,100.0,57.5,13.4,24.6,18.8,1451.94,2.36,17.379,0.028,239.21,4984.24,14
Puppet,2,122.812,53.784,29.443,39.585,0.0,100.0,56.9,13.7,24.5,18.3,1452.08,2.22,17.447,0.027,232.65,4981.26,14
Puppet,2,128.993,56.151,29.352,43.490,0.5,100.0,56.8,13.5,24.4,18.9,1424.42,2.22,16.659,0.026,227.37,4912.19,14
Puppet,2,128.717,55.873,29.488,43.356,0.0,100.0,57.1,13.5,23.4,18.3,1451.95,1.95,17.010,0.023,244.82,4970.16,14
Puppet,2,125.283,54.275,29.642,41.366,0.0,100.0,56.8,13.4,25.4,18.8,1442.43,2.20,17.189,0.026,271.49,4910.70,14
Puppet,2,130.555,58.730,29.451,42.374,0.0,99.5,54.5,14.0,23.9,19.0,1448.44,2.53,16.426,0.029,213.49,4911.59,14
Puppet,1,124.973,55.361,29.585,40.027,0.0,100.0,56.4,13.5,24.6,18.7,1451.92,2.08,17.092,0.024,222.23,4998.14,14
Puppet,2,129.184,54.516,29.571,45.097,0.0,100.0,57.7,13.5,24.1,18.4,1446.75,3.08,17.205,0.037,270.84,4914.48,14
Puppet,1,124.839,53.898,29.607,41.334,0.0,100.0,57.1,13.2,24.5,18.6,1452.14,2.40,17.390,0.029,237.69,4997.78,14
Puppet,2,129.331,56.189,29.476,43.666,0.0,100.0,57.6,13.5,23.3,18.5,1451.91,2.04,16.949,0.024,227.72,5011.21,14
Puppet,2,118.500,53.984,29.467,35.049,0.0,100.0,57.0,14.0,24.1,19.1,1452.29,2.63,17.403,0.032,241.59,4982.09,14
Puppet,1,127.909,56.936,29.590,41.383,0.5,100.0,56.6,13.9,25.1,19.2,1452.01,2.49,16.781,0.029,235.02,5031.10,14
Puppet,2,123.995,54.653,29.502,39.840,0.5,100.0,58.6,13.4,24.2,18.6,1452.18,2.25,17.256,0.027,243.41,4979.31,14
Puppet,1,124.175,54.488,29.645,40.042,0.5,100.0,55.9,13.9,23.5,18.8,1416.56,2.47,16.837,0.029,298.79,4910.00,14
Puppet,2,121.995,52.528,29.612,39.855,0.0,100.0,56.9,13.8,24.1,18.8,1452.00,2.56,17.677,0.031,276.79,4991.23,14
Puppet,2,121.616,56.065,29.266,36.285,0.0,100.0,56.4,14.2,24.8,18.8,1432.17,2.61,16.784,0.031,228.50,4933.48,14
Puppet,2,124.189,54.601,29.635,39.953,0.5,100.0,56.6,12.8,24.2,18.1,1452.07,2.33,17.238,0.028,257.24,5011.62,14
Puppet,2,128.774,55.692,29.407,43.675,0.0,100.0,57.4,13.5,24.8,18.3,1421.88,2.14,16.709,0.025,237.04,4908.83,14
Puppet,2,123.245,54.826,29.640,38.779,0.0,100.0,57.5,13.6,23.9,18.4,1452.49,2.74,17.196,0.032,256.49,4980.95,14
Puppet,2,127.091,58.535,29.560,38.996,0.5,100.0,57.2,13.8,24.8,18.6,1452.14,2.23,16.484,0.025,280.27,5075.71,14
Puppet,2,122.865,53.375,29.548,39.942,0.0,100.0,56.7,13.5,24.1,18.8,1412.67,1.98,17.036,0.024,246.98,4914.96,14
Puppet,2,126.731,56.142,29.277,41.312,0.5,100.0,57.4,13.5,24.3,18.7,1451.95,2.12,16.998,0.025,231.98,4978.79,14
Puppet,1,129.678,58.816,29.673,41.189,0.0,100.0,56.2,13.8,23.0,18.8,1452.14,2.06,16.410,0.023,235.81,5012.08,14
Puppet,2,129.550,56.149,29.669,43.732,0.0,100.0,57.0,13.5,23.8,18.8,1443.70,2.59,16.823,0.030,263.88,4911.96,14
Puppet,1,125.655,56.168,29.397,40.090,0.5,100.0,57.7,13.9,24.9,18.6,1451.89,2.11,16.968,0.025,250.18,5000.61,14
Puppet,2,122.965,52.814,29.361,40.790,0.0,100.0,57.7,13.8,24.3,18.6,1452.36,3.05,17.674,0.037,232.81,4986.99,14
Puppet,1,123.445,56.326,29.349,37.770,0.0,100.0,57.7,13.6,23.6,18.4,1451.94,2.12,16.947,0.025,238.47,5008.73,14
