tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Terraform,2,122.985,54.294,29.599,39.092,0.5,100.0,62.7,12.0,22.9,17.0,1492.54,2.52,17.791,0.030,228.54,5394.33,2
Terraform,2,120.847,53.997,30.026,36.824,1.0,100.0,62.0,11.8,21.9,16.6,1492.89,2.84,17.768,0.034,219.42,5568.60,2
Terraform,1,121.445,51.332,29.633,40.480,1.0,100.0,61.5,12.3,24.0,17.0,1492.68,2.57,18.436,0.032,239.69,5794.74,2
Terraform,2,121.850,51.698,29.671,40.481,0.5,100.0,62.0,12.2,21.5,16.6,1492.44,2.13,18.342,0.026,223.18,5576.00,2
Terraform,2,122.440,52.787,29.659,39.994,0.5,100.0,61.4,12.1,23.2,16.8,1492.47,2.23,18.102,0.027,198.20,5403.82,2
Terraform,2,119.508,52.420,29.698,37.390,1.0,100.0,61.7,12.1,22.5,17.0,1492.53,2.38,18.175,0.029,216.80,5415.32,2
Terraform,2,125.284,56.181,29.887,39.216,0.5,100.0,61.5,11.6,23.9,16.6,1492.44,2.39,17.340,0.028,225.93,5407.86,2
Terraform,2,122.551,55.239,29.710,37.602,0.5,100.0,62.5,11.9,21.8,16.7,1492.50,2.21,17.569,0.026,207.10,5441.93,2
Terraform,1,121.201,53.766,29.565,37.870,0.5,100.0,62.5,11.5,23.1,16.9,1492.59,2.54,17.912,0.030,198.03,5635.23,2
Terraform,1,123.615,54.343,29.936,39.336,1.0,100.0,61.9,12.0,23.6,16.6,1492.54,2.45,17.710,0.029,226.63,5401.63,2
Terraform,2,125.640,55.448,29.713,40.479,1.0,100.0,61.2,12.2,22.4,16.8,1492.54,2.45,17.526,0.029,190.21,5397.45,2
Terraform,2,122.780,53.874,29.659,39.247,0.5,100.0,61.6,12.3,22.8,17.1,1492.52,2.31,17.867,0.028,245.00,5401.30,2
