tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Ansible,1,333.035,157.345,138.287,37.403,0.0,100.0,20.7,11.9,23.8,16.1,1496.36,3.02,5.062,0.01,251.65,6084.06,13
Ansible,2,327.591,155.831,136.944,34.816,0.0,100.0,20.1,12.0,24.7,16.1,1496.27,2.93,5.111,0.01,225.61,5582.58,13
Ansible,2,327.896,155.837,137.598,34.461,0.0,100.0,20.6,12.1,26.3,16.3,1496.2,2.52,5.099,0.009,236.22,5589.7,13
Ansible,1,333.753,156.993,138.076,38.684,0.0,99.5,20.4,12.0,24.2,16.1,1542.35,2.88,5.227,0.01,233.87,5817.27,13
Ansible,2,332.29,156.143,136.423,39.724,0.0,100.0,20.6,11.9,25.1,16.1,1496.25,2.85,5.114,0.01,268.96,5581.59,13
Ansible,1,339.358,160.082,138.275,41.001,0.0,100.0,21.6,11.7,24.2,16.0,1496.24,2.92,5.015,0.01,236.14,5959.36,13
Ansible,2,330.847,156.477,138.476,35.894,0.0,100.0,20.0,11.9,24.4,16.0,1533.42,2.94,5.199,0.01,238.01,5585.69,13
Ansible,2,335.915,159.397,136.766,39.752,0.0,100.0,20.9,11.8,23.8,16.1,1496.22,2.75,5.052,0.009,218.3,5691.85,13
Ansible,1,337.99,160.028,136.655,41.307,0.0,100.0,21.0,11.9,25.4,16.3,1496.23,2.91,5.043,0.01,235.35,5584.81,13
Ansible,2,331.465,156.121,137.989,37.355,0.0,100.0,20.3,11.6,24.7,16.1,1542.42,2.91,5.244,0.01,239.99,5741.47,13
Ansible,2,389.082,232.972,114.297,41.813,0.0,100.0,18.0,12.1,23.9,16.0,1497.34,2.75,4.312,0.008,220.45,5597.72,13
Ansible,2,292.631,136.855,114.809,40.967,0.5,100.0,25.5,11.9,24.2,16.3,1496.18,2.52,5.945,0.01,257.12,5573.56,13
Ansible,2,288.411,134.805,114.116,39.49,0.5,100.0,25.2,11.7,24.5,16.1,1496.26,2.74,6.011,0.011,227.36,5689.01,13
Ansible,2,284.219,132.931,113.111,38.177,0.5,100.0,24.6,11.9,24.2,16.3,1496.32,2.88,6.082,0.012,235.24,5711.37,13
Ansible,2,285.085,133.621,114.512,36.952,0.5,100.0,24.5,12.3,25.5,16.6,1542.36,2.93,6.216,0.012,284.38,5622.96,13
Ansible,2,296.18,138.035,114.434,43.711,0.0,100.0,26.0,11.9,25.3,16.3,1497.09,2.58,5.93,0.01,251.35,5581.27,13
Ansible,2,295.778,136.231,116.13,43.417,0.0,100.0,25.9,11.7,23.9,16.2,1542.36,2.94,6.112,0.012,244.21,5632.81,13
Ansible,2,299.851,136.828,115.705,47.318,0.5,100.0,25.8,12.2,24.1,16.3,1496.29,3.09,5.925,0.012,233.61,5893.76,13
Ansible,2,280.373,127.986,113.827,38.56,0.5,100.0,23.8,11.7,24.7,16.2,1496.29,2.79,6.188,0.012,253.61,5568.64,13
Ansible,2,289.124,134.419,115.187,39.518,0.5,100.0,24.8,12.3,25.4,16.4,1542.35,2.97,6.179,0.012,247.64,5632.21,13
Ansible,2,288.226,132.226,115.242,40.758,0.0,100.0,24.8,12.0,24.3,16.2,1510.18,2.91,6.103,0.012,246.02,5655.98,13
Ansible,2,275.706,126.894,112.211,36.601,0.5,100.0,23.7,12.0,24.0,16.2,1496.32,3.06,6.258,0.013,241.2,5697.47,13
Ansible,1,281.929,130.547,113.878,37.504,0.5,100.0,24.7,12.1,23.9,16.4,1496.16,2.39,6.121,0.01,253.23,5640.75,13
Ansible,2,336.477,174.467,121.07,40.94,0.0,100.0,24.5,11.8,24.5,16.2,1517.49,2.62,4.51,0.008,244.19,5702.2,13
Ansible,1,310.286,142.153,124.996,43.137,0.5,100.0,22.2,11.9,24.6,16.2,1549.36,3.04,4.993,0.01,247.99,5572.49,13
Ansible,2,347.321,176.768,127.604,42.949,0.0,100.0,19.0,12.0,24.8,16.5,1489.22,2.84,4.288,0.008,226.97,5579.98,13
Ansible,2,325.588,147.579,142.416,35.593,0.5,100.0,24.4,12.0,24.2,16.2,1521.87,2.84,4.674,0.009,265.2,5634.01,13
Ansible,2,303.72,122.407,140.692,40.621,0.5,99.5,23.6,11.6,24.6,16.2,1500.8,2.8,4.941,0.009,246.63,5823.77,13
Ansible,2,320.512,166.262,114.136,40.114,0.0,100.0,23.6,11.8,24.2,16.2,1514.05,2.79,4.724,0.009,234.97,5803.23,13
Ansible,2,313.917,148.523,128.229,37.165,0.0,100.0,26.6,11.7,24.7,16.1,1508.5,2.98,4.805,0.009,229.26,5904.18,13
Ansible,1,320.858,141.909,140.679,38.27,0.5,100.0,26.0,11.7,24.0,16.2,1489.22,3.0,4.641,0.009,258.46,5592.6,13
Ansible,2,334.978,175.05,125.044,34.884,0.5,100.0,25.4,11.7,23.8,16.4,1489.22,3.07,4.446,0.009,237.1,5511.71,13
Ansible,1,312.421,165.406,108.271,38.744,0.0,100.0,20.9,12.1,24.5,16.2,1514.52,2.88,4.848,0.009,242.1,5713.75,13
Ansible,2,304.603,154.293,108.271,42.039,0.5,100.0,24.1,12.2,24.6,16.3,1499.1,3.04,4.921,0.01,245.05,5566.56,13
Ansible,2,299.886,140.551,122.29,37.045,0.0,99.5,23.3,11.9,25.6,16.2,1549.36,2.51,5.166,0.008,265.87,5794.85,13
Ansible,2,273.21,130.148,110.21,32.852,0.0,100.0,20.6,12.3,24.6,16.1,1508.32,2.32,5.521,0.008,219.76,5691.63,13
