tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Chef,2,136.378,64.483,29.78,42.115,0.0,100.0,57.2,11.8,24.5,17.9,1492.9,2.23,15.838,0.024,281.3,5431.22,16
Chef,1,130.801,59.986,29.972,40.843,0.0,100.0,56.5,12.2,24.9,18.5,1492.96,2.44,16.596,0.027,318.79,5411.32,16
Chef,2,129.091,60.721,29.932,38.438,0.0,100.0,57.5,12.5,24.9,18.6,1492.9,2.32,16.468,0.026,316.29,5410.46,16
Chef,2,129.24,60.781,29.874,38.585,0.5,100.0,57.2,11.7,25.7,18.7,1492.42,2.41,16.463,0.027,326.91,5339.5,16
Chef,1,127.557,60.228,30.346,36.983,0.0,100.0,56.9,12.3,24.8,18.8,1492.89,2.03,16.483,0.022,349.75,5416.53,16
Chef,1,132.658,63.29,29.84,39.528,0.5,100.0,57.2,12.5,25.7,18.8,1492.99,2.46,16.031,0.026,308.25,5650.89,16
Chef,1,132.735,62.731,29.988,40.016,0.0,100.0,56.3,12.2,26.7,19.0,1492.94,2.51,16.102,0.027,324.73,5404.93,16
Chef,2,130.278,62.302,29.734,38.242,0.0,100.0,56.2,12.1,25.7,18.4,1492.92,2.29,16.221,0.025,290.2,5411.5,16
Chef,2,134.146,64.099,30.066,39.981,0.5,100.0,56.0,12.2,24.7,18.5,1492.97,3.12,15.855,0.033,323.25,5400.9,16
Chef,2,127.55,60.35,30.082,37.118,0.0,100.0,56.4,12.1,24.7,18.4,1493.0,2.42,16.51,0.027,307.05,5415.2,16
Chef,2,131.626,60.68,30.204,40.742,0.5,100.0,58.4,12.2,24.6,19.2,1492.9,2.66,16.426,0.029,319.67,5414.54,16
Chef,2,132.846,61.623,30.051,41.172,0.5,99.5,59.1,11.9,24.1,18.7,1492.99,2.39,16.286,0.026,282.49,5414.4,16
Chef,1,149.987,65.019,30.162,54.806,0.0,100.0,60.1,12.0,24.3,18.8,1492.92,2.14,15.685,0.022,266.48,5406.61,16
Chef,2,129.801,59.847,30.073,39.881,0.5,100.0,60.3,12.8,23.5,19.0,1485.17,2.5,16.517,0.028,303.7,5338.16,16
Chef,2,138.292,61.903,30.195,46.194,0.0,100.0,59.2,12.5,25.9,19.0,1463.51,2.24,15.891,0.024,326.39,5339.02,16
Chef,2,130.219,60.354,29.946,39.919,0.0,100.0,55.8,12.2,25.6,18.1,1487.67,2.25,11.424,0.017,310.66,5346.58,16
Chef,1,135.983,60.625,30.107,45.251,0.0,100.0,60.2,12.4,25.7,18.7,1490.59,2.29,10.962,0.017,341.26,5306.2,16
Chef,2,130.804,62.737,29.912,38.155,0.0,100.0,56.7,12.0,24.6,18.7,1497.42,2.23,11.448,0.017,309.12,5485.53,16
Chef,1,137.699,63.104,30.269,44.326,0.0,100.0,55.4,12.3,25.8,19.1,1488.42,2.43,10.809,0.018,276.33,5452.11,16
Chef,1,133.042,60.413,30.036,42.593,0.5,100.0,56.6,12.5,25.2,18.8,1496.56,2.19,11.249,0.016,299.97,5568.42,16
Chef,2,135.15,60.286,29.841,45.023,0.5,100.0,57.3,12.1,26.4,18.3,1497.42,2.77,11.08,0.02,303.01,5470.04,16
Chef,1,131.644,60.658,30.136,40.85,0.0,100.0,58.8,12.0,25.3,18.2,1495.09,2.54,11.357,0.019,315.34,5440.68,16
Chef,2,130.742,60.761,29.745,40.236,0.0,99.5,56.7,12.4,25.2,18.8,1491.13,2.28,11.405,0.017,274.59,5488.16,16
Chef,2,136.821,59.233,30.223,47.365,0.5,100.0,59.3,12.3,25.3,18.8,1491.72,2.77,10.903,0.02,347.26,5462.67,16
Chef,2,136.805,62.393,30.017,44.395,0.0,100.0,56.2,12.2,25.8,18.8,1481.59,2.28,10.83,0.017,308.98,5421.55,16
Chef,2,131.922,63.782,30.388,37.752,0.0,100.0,55.4,11.7,25.7,18.5,1490.78,2.26,11.3,0.017,331.83,5316.25,16
Chef,2,135.775,60.235,29.996,45.544,0.0,100.0,58.0,12.4,23.4,18.9,1488.57,2.15,10.964,0.016,331.53,5431.73,16
Chef,2,134.019,62.488,30.004,41.527,0.5,100.0,55.6,11.9,26.0,18.9,1483.45,2.34,11.069,0.017,352.71,5415.42,16
Chef,2,136.581,60.747,30.007,45.827,0.0,100.0,59.4,12.5,25.1,18.7,1483.48,2.62,10.862,0.019,310.48,5374.68,16
Chef,1,124.801,60.428,30.063,34.31,0.0,100.0,57.6,12.2,25.4,19.3,1488.71,2.46,11.929,0.02,307.56,5321.74,16
Chef,1,130.959,60.866,30.102,39.991,0.5,100.0,58.6,12.5,25.9,19.1,1485.19,2.59,11.341,0.02,313.91,5447.27,16
