tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
CloudFormation,1,153.53,85.777,38.598,29.155,0.0,100.0,47.5,12.2,27.7,16.5,1538.99,2.27,12.374,0.018,396.79,5930.9,2
CloudFormation,2,153.998,87.107,42.711,24.18,0.0,100.0,44.8,11.9,28.4,16.5,1539.0,2.61,11.855,0.02,358.49,5847.39,2
CloudFormation,2,156.806,86.776,43.226,26.804,0.0,100.0,45.3,11.8,28.6,16.8,1538.9,2.02,11.838,0.016,365.97,5840.33,2
CloudFormation,2,155.868,87.277,43.028,25.563,0.0,100.0,46.3,11.8,27.8,16.6,1538.9,1.96,11.81,0.015,298.57,5719.62,2
CloudFormation,2,157.139,87.454,42.851,26.834,0.0,100.0,46.2,11.8,28.2,16.6,1539.25,2.7,11.813,0.021,349.2,5811.86,2
CloudFormation,2,159.427,88.815,41.159,29.453,0.0,100.0,47.1,11.8,28.3,16.3,1539.02,2.55,11.841,0.02,310.85,5834.32,2
CloudFormation,2,159.139,89.404,40.42,29.315,0.0,100.0,46.9,12.1,28.2,16.7,1538.95,2.2,11.854,0.017,307.45,5847.95,2
CloudFormation,2,154.275,85.818,37.98,30.477,0.0,100.0,47.4,11.5,26.2,15.9,1539.03,2.48,12.432,0.02,326.8,5686.29,2
CloudFormation,2,162.545,89.091,40.238,33.216,0.0,100.0,49.0,12.1,27.2,16.4,1538.97,2.42,11.9,0.019,312.72,5708.04,2
CloudFormation,1,157.731,88.716,41.045,27.97,0.0,100.0,48.2,11.5,28.3,16.3,1538.96,2.36,11.86,0.018,352.66,5785.14,2
CloudFormation,2,159.556,87.764,37.833,33.959,0.0,100.0,47.5,11.8,25.0,15.9,1539.0,2.15,12.253,0.017,267.73,5692.86,2
CloudFormation,2,169.064,90.452,40.911,37.701,0.0,100.0,49.4,11.6,27.4,15.9,1538.98,2.22,11.715,0.017,312.24,5829.7,2
CloudFormation,2,156.135,83.921,41.23,30.984,0.0,100.0,47.1,11.8,27.6,16.5,1539.05,2.5,12.298,0.02,275.05,5847.68,2
CloudFormation,2,165.945,89.416,42.792,33.737,0.0,100.0,47.5,11.8,27.9,16.4,1538.98,2.23,11.641,0.017,324.54,5852.77,2
CloudFormation,2,162.898,89.262,42.331,31.305,0.0,100.0,48.4,11.9,26.5,16.1,1539.09,2.12,11.696,0.016,325.08,6071.54,2
CloudFormation,2,155.037,86.827,40.563,27.647,0.0,100.0,46.9,11.5,27.6,16.2,1539.05,2.34,12.081,0.018,376.82,5843.23,2
CloudFormation,1,159.631,87.943,39.239,32.449,0.0,100.0,48.3,12.1,26.6,16.3,1539.03,2.58,12.101,0.02,306.09,6162.32,2
CloudFormation,2,154.015,83.622,37.763,32.63,0.0,100.0,47.6,11.8,25.8,16.0,1539.05,2.74,12.679,0.023,306.88,6015.12,2
CloudFormation,1,159.674,86.524,40.51,32.64,0.0,100.0,47.7,11.6,28.2,16.3,1538.96,2.14,12.115,0.017,359.51,6242.57,2
CloudFormation,2,162.056,86.634,40.289,35.133,0.0,100.0,48.5,11.8,27.1,16.2,1538.95,2.3,12.125,0.018,354.52,5846.66,2
CloudFormation,2,161.056,90.473,39.912,30.671,0.0,100.0,47.4,12.0,28.0,16.2,1539.04,2.17,9.556,0.013,323.61,5946.03,2
CloudFormation,1,152.799,86.96,40.306,25.533,0.0,100.0,49.3,11.8,27.1,16.9,1539.05,2.37,10.072,0.016,327.87,5654.87,2
CloudFormation,1,157.994,86.701,37.107,34.186,0.0,100.0,48.6,11.4,27.9,16.4,1538.97,2.18,9.741,0.014,322.21,5619.54,2
CloudFormation,2,150.064,84.578,38.444,27.042,0.0,100.0,47.6,12.2,27.6,16.3,1539.19,2.36,10.257,0.016,317.73,5891.88,2
CloudFormation,2,161.468,88.882,37.79,34.796,0.0,100.0,46.5,12.1,26.6,15.8,1539.0,2.26,9.531,0.014,330.99,5891.53,2
CloudFormation,2,159.227,84.381,40.523,34.323,0.0,100.0,47.0,11.9,26.8,16.0,1539.02,2.3,9.666,0.014,283.62,5784.52,2
