tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
OpenTofu,1,123.685,55.037,34.024,34.624,0.0,100.0,56.9,12.1,24.2,17.1,1518.79,2.54,17.053,0.029,293.24,5484.13,2
OpenTofu,1,121.902,55.833,30.071,35.998,0.5,100.0,60.3,12.2,23.4,16.8,1492.92,2.48,17.379,0.029,263.41,5546.37,2
OpenTofu,1,125.783,56.19,29.799,39.794,0.5,100.0,59.7,12.1,23.7,16.9,1492.93,2.21,17.362,0.026,225.96,5407.81,2
OpenTofu,1,119.629,55.53,29.6,34.499,0.5,100.0,58.7,12.3,23.7,16.7,1493.01,2.53,17.538,0.03,225.8,5406.93,2
OpenTofu,1,123.799,57.858,29.692,36.249,0.0,100.0,58.2,12.4,24.0,16.9,1493.0,2.96,17.053,0.034,217.16,5420.61,2
OpenTofu,2,122.22,56.48,29.7,36.04,0.5,100.0,60.1,12.1,23.6,17.0,1523.12,2.61,17.674,0.03,238.77,5416.61,2
OpenTofu,1,119.405,55.52,29.586,34.299,0.0,100.0,59.2,12.6,22.8,17.0,1492.97,2.81,17.542,0.033,193.77,5404.23,2
OpenTofu,2,119.38,53.565,29.664,36.151,0.0,100.0,59.5,12.1,23.6,17.1,1492.97,2.67,17.938,0.032,198.18,5408.77,2
OpenTofu,2,126.265,57.834,29.722,38.709,0.5,100.0,59.8,12.1,22.5,16.8,1492.81,1.9,17.05,0.022,214.74,5413.35,2
OpenTofu,1,121.98,55.031,29.477,37.472,1.5,100.0,60.5,12.3,23.6,17.0,1513.83,2.62,17.913,0.031,232.82,5906.82,2
OpenTofu,1,124.931,53.142,29.388,42.401,1.0,100.0,62.8,12.5,22.2,16.9,1492.9,2.29,18.089,0.028,187.07,5556.68,2
OpenTofu,2,128.09,52.963,29.819,45.308,1.5,100.0,62.3,12.3,21.8,17.1,1492.92,2.46,18.034,0.03,246.73,5545.86,2
OpenTofu,2,127.857,53.353,29.655,44.849,1.0,100.0,63.5,12.1,24.5,17.1,1492.89,2.18,17.985,0.026,219.64,5405.07,2
OpenTofu,1,120.58,51.209,29.469,39.902,1.0,100.0,63.5,12.1,20.6,16.6,1492.86,2.11,18.504,0.026,224.67,5468.86,2
OpenTofu,2,121.97,51.359,29.535,41.076,1.5,100.0,62.8,12.7,23.5,17.2,1492.89,2.21,18.455,0.027,227.37,5408.49,2
OpenTofu,1,128.849,57.543,30.238,41.068,0.5,100.0,60.8,12.6,23.3,16.9,1518.14,2.99,11.782,0.023,255.64,5620.44,2
OpenTofu,1,124.559,56.946,31.292,36.321,1.5,100.0,61.7,12.0,22.8,16.9,1512.41,2.43,12.142,0.02,190.32,5328.84,2
OpenTofu,1,119.573,54.143,30.191,35.239,0.5,100.0,62.1,12.5,24.3,17.0,1488.26,2.32,12.446,0.019,245.82,5329.8,2
OpenTofu,1,123.865,56.059,30.727,37.079,0.5,100.0,58.1,12.5,23.3,16.8,1489.72,2.42,12.027,0.02,211.52,5435.91,2
OpenTofu,1,120.344,56.388,31.308,32.648,0.0,100.0,61.4,12.0,22.1,17.0,1499.81,2.41,12.463,0.02,233.52,5581.6,2
OpenTofu,1,118.921,51.423,31.496,36.002,0.5,100.0,57.6,12.4,21.3,17.3,1499.88,2.71,12.612,0.023,192.15,5726.17,2
OpenTofu,1,121.221,54.738,29.4,37.083,0.0,100.0,62.8,12.3,24.0,17.2,1506.3,2.38,12.426,0.02,209.31,5372.88,2
OpenTofu,2,120.219,55.61,28.77,35.839,0.0,100.0,58.0,12.1,22.0,16.7,1496.83,2.48,12.451,0.021,230.35,5431.36,2
OpenTofu,2,117.812,56.368,28.796,32.648,1.5,100.0,64.2,12.4,24.0,17.2,1498.51,2.86,12.72,0.024,196.02,5516.5,2
OpenTofu,1,120.566,54.935,31.312,34.319,1.5,100.0,61.8,12.3,23.6,17.0,1502.1,2.06,12.459,0.017,200.18,5626.09,2
OpenTofu,2,120.052,54.315,29.109,36.628,1.0,100.0,57.7,12.4,22.2,17.1,1501.88,2.31,12.51,0.019,252.04,5328.84,2
OpenTofu,2,118.593,54.811,29.404,34.378,0.5,100.0,62.0,12.1,23.9,17.3,1494.47,2.37,12.602,0.02,213.7,5461.09,2
OpenTofu,1,129.485,56.599,31.166,41.72,0.5,100.0,60.9,12.8,23.4,16.9,1497.18,2.2,11.563,0.017,242.35,5487.9,2
OpenTofu,1,115.615,54.13,28.837,32.648,0.5,100.0,59.9,12.6,24.8,17.2,1488.26,2.48,12.873,0.021,171.14,5451.21,2
OpenTofu,1,119.684,50.212,30.779,38.693,0.5,100.0,60.7,12.4,23.2,17.1,1498.62,2.4,12.521,0.02,247.38,5586.46,2
OpenTofu,1,124.454,54.082,28.693,41.679,0.5,100.0,60.4,12.2,22.4,17.1,1493.45,1.74,12.0,0.014,260.77,5535.63,2
OpenTofu,2,120.465,54.764,30.944,34.757,1.0,100.0,63.0,12.1,20.3,17.2,1500.39,2.23,12.455,0.019,219.85,5590.96,2
OpenTofu,2,116.251,53.333,30.27,32.648,0.0,100.0,60.2,12.5,23.1,17.1,1495.04,2.6,12.86,0.022,201.15,5661.55,2
OpenTofu,2,122.918,56.852,30.476,35.59,1.0,100.0,62.4,12.4,24.7,17.1,1496.33,2.48,12.173,0.02,270.03,5594.18,2
OpenTofu,2,127.257,55.269,28.693,43.295,0.0,100.0,59.4,12.4,22.8,16.8,1500.55,2.38,11.791,0.019,234.39,5393.83,2
OpenTofu,1,126.266,58.855,28.693,38.718,1.5,100.0,59.7,12.2,23.6,16.9,1488.26,2.19,11.787,0.017,242.2,5605.26,2
OpenTofu,2,126.263,58.855,28.695,38.713,0.5,100.0,58.8,12.3,23.4,16.8,1490.83,2.46,11.807,0.019,244.69,5346.0,2
OpenTofu,1,122.274,55.123,29.323,37.828,1.0,100.0,60.1,12.2,23.0,17.2,1518.76,2.47,12.421,0.02,227.7,5519.92,2
OpenTofu,1,119.726,52.022,28.693,39.011,1.5,100.0,61.2,12.1,23.9,17.2,1488.26,2.62,12.431,0.022,309.17,5491.59,2
OpenTofu,1,124.125,54.487,28.859,40.779,0.5,100.0,57.6,12.1,23.8,16.8,1488.26,2.25,11.99,0.018,243.03,5385.74,2
OpenTofu,1,120.194,57.067,30.479,32.648,0.5,100.0,59.4,12.2,25.1,17.1,1499.73,2.82,12.478,0.023,217.4,5474.05,2
OpenTofu,1,119.379,55.783,30.948,32.648,0.5,100.0,60.9,12.0,25.1,16.9,1507.79,2.38,12.63,0.02,253.82,5596.0,2
OpenTofu,2,122.069,54.344,29.159,38.566,0.5,100.0,57.1,12.4,23.4,17.0,1497.19,2.59,12.265,0.021,219.94,5505.86,2
