tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Pulumi,1,144.111,72.71,33.93,37.471,0.0,100.0,52.1,11.9,23.2,16.0,1539.01,2.15,14.432,0.02,347.88,5621.44,4
Pulumi,1,142.446,70.176,32.029,40.241,0.0,100.0,54.1,11.9,22.7,16.4,1538.99,2.12,15.058,0.021,212.12,5465.15,4
Pulumi,1,131.787,67.771,32.379,31.637,0.5,100.0,53.6,11.9,24.6,16.4,1539.1,2.71,15.368,0.027,262.63,6087.18,4
Pulumi,1,136.168,70.608,33.127,32.433,0.0,100.0,54.1,11.9,23.8,16.3,1539.05,2.49,14.836,0.024,278.75,5632.86,4
Pulumi,1,135.277,68.595,33.097,33.585,0.0,100.0,54.8,11.6,24.7,16.3,1539.05,2.35,15.134,0.023,229.44,5639.54,4
Pulumi,1,136.562,66.866,32.118,37.578,0.0,100.0,52.5,11.6,23.6,16.2,1539.11,2.48,15.549,0.025,236.09,5482.15,4
Pulumi,1,134.448,67.175,32.567,34.706,0.0,100.0,53.7,11.8,23.7,16.3,1539.07,2.54,15.431,0.025,280.38,5793.81,4
Pulumi,1,142.843,73.203,32.371,37.269,0.0,100.0,52.7,11.8,22.2,15.9,1539.01,2.47,14.578,0.023,246.24,5538.88,4
Pulumi,1,144.856,71.983,32.776,40.097,0.0,100.0,53.7,12.1,23.0,16.2,1539.06,2.36,14.691,0.023,252.92,5728.32,4
Pulumi,2,139.814,65.599,32.861,41.354,0.5,100.0,56.5,12.1,22.9,16.6,1539.02,2.75,15.631,0.028,227.89,5730.01,4
Pulumi,2,142.555,64.118,31.983,46.454,0.0,100.0,58.7,11.9,22.4,16.7,1492.93,2.06,15.535,0.021,209.07,5527.48,4
Pulumi,2,127.308,58.758,32.195,36.355,0.0,100.0,58.1,12.1,22.8,16.8,1539.06,2.48,16.921,0.027,257.97,5692.29,4
Pulumi,2,135.379,61.859,32.309,41.211,0.0,100.0,58.1,12.0,22.5,16.7,1538.96,2.16,16.343,0.023,259.92,5463.52,4
Pulumi,1,130.693,60.496,32.92,37.277,0.0,100.0,57.5,12.0,22.8,16.5,1512.24,2.46,16.188,0.026,237.35,5647.85,4
Pulumi,2,128.131,58.522,32.113,37.496,0.0,100.0,58.2,11.7,22.7,16.6,1492.93,2.27,16.472,0.025,251.16,5532.17,4
Pulumi,1,129.793,64.55,31.857,33.386,0.5,100.0,57.1,11.9,23.7,16.9,1530.99,2.22,11.796,0.017,226.01,5516.43,4
Pulumi,1,144.853,75.405,32.381,37.067,0.0,100.0,57.1,11.7,23.7,16.5,1546.04,2.36,10.673,0.016,190.0,5528.23,4
Pulumi,1,135.693,60.475,32.826,42.392,0.0,100.0,54.5,11.9,21.8,16.3,1491.75,2.44,10.994,0.018,315.55,5533.81,4
Pulumi,1,138.335,67.618,31.941,38.776,0.0,100.0,54.5,12.1,24.2,16.8,1538.09,2.68,11.119,0.019,245.38,5411.73,4
Pulumi,1,122.399,57.996,32.397,32.006,0.0,100.0,52.8,11.8,24.5,16.5,1502.22,2.31,12.273,0.019,218.34,5432.05,4
Pulumi,1,140.13,71.093,31.712,37.325,0.0,100.0,57.1,11.9,23.6,16.6,1546.04,2.03,11.033,0.014,231.76,5550.86,4
