tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Puppet,2,130.034,55.1,29.118,45.816,0.0,100.0,54.4,13.3,25.0,18.3,1381.83,1.93,16.408,0.023,206.24,4907.56,14
Puppet,2,127.386,55.911,29.484,41.991,0.5,100.0,55.7,13.8,24.1,18.6,1451.87,1.96,17.002,0.023,237.22,4980.52,14
Puppet,1,123.955,54.96,29.399,39.596,0.5,100.0,57.0,13.9,26.0,18.6,1451.97,2.61,17.212,0.031,238.23,4997.31,14
Puppet,2,134.775,60.762,29.338,44.675,0.0,100.0,56.3,13.3,23.4,18.2,1451.91,2.11,16.114,0.023,239.12,5014.95,14
Puppet,2,124.172,55.375,29.26,39.537,0.0,100.0,55.3,13.7,23.9,18.5,1451.95,2.19,17.155,0.026,212.99,4980.52,14
Puppet,2,121.495,54.996,29.444,37.055,0.5,100.0,56.3,13.8,24.6,18.5,1451.97,2.26,17.195,0.027,232.36,4981.76,14
Puppet,2,125.833,55.497,29.487,40.849,0.5,100.0,55.9,13.7,24.3,18.7,1452.02,2.28,17.086,0.027,244.4,4987.46,14
Puppet,2,130.328,58.802,29.502,42.024,0.5,100.0,55.0,13.8,25.5,18.5,1447.1,2.11,16.388,0.024,248.7,4913.12,14
Puppet,2,132.001,59.108,29.396,43.497,0.5,100.0,56.9,12.9,23.4,18.2,1451.96,2.26,16.406,0.026,262.83,4987.43,14
Puppet,2,121.299,54.785,29.482,37.032,0.0,100.0,56.1,13.9,24.2,18.9,1452.02,2.43,17.231,0.029,249.67,4984.59,14
Puppet,2,126.654,53.772,29.576,43.306,0.5,100.0,59.7,12.9,25.0,18.6,1438.78,2.16,17.262,0.026,280.47,4912.52,14
Puppet,2,131.219,58.481,29.477,43.261,0.0,100.0,57.1,14.0,24.7,18.9,1451.96,2.34,16.507,0.027,227.36,4914.96,14
Puppet,2,131.062,55.391,29.693,45.978,0.5,100.0,59.6,13.5,24.8,19.0,1451.92,1.95,17.065,0.023,291.41,4997.13,14
Puppet,1,122.741,52.303,29.133,41.305,0.5,100.0,57.9,13.5,23.4,18.7,1451.97,2.2,17.83,0.027,238.75,5178.72,14
Puppet,2,124.884,55.472,29.684,39.728,0.5,100.0,57.9,13.4,24.0,18.8,1451.9,2.08,17.05,0.024,262.29,4955.52,14
Puppet,2,128.658,56.847,29.496,42.315,0.0,100.0,56.4,13.0,23.7,18.6,1427.8,2.4,11.098,0.019,216.23,4897.69,14
Puppet,2,126.807,54.189,29.196,43.422,0.5,100.0,57.2,14.0,24.6,18.7,1428.17,2.33,11.263,0.018,251.24,4934.54,14
Puppet,1,121.845,52.708,29.417,39.72,0.5,100.0,56.0,13.5,25.4,18.6,1459.46,2.55,11.978,0.021,281.65,4980.82,14
Puppet,2,128.576,54.178,29.449,44.949,0.5,100.0,57.0,14.1,24.6,18.5,1440.19,2.18,11.201,0.017,257.55,4983.54,14
Puppet,1,120.706,55.399,29.268,36.039,0.5,100.0,56.2,14.1,25.6,19.0,1423.97,2.22,11.797,0.018,196.02,4965.16,14
Puppet,2,122.708,51.288,29.554,41.866,0.5,100.0,56.9,13.8,24.5,18.8,1447.02,2.17,11.792,0.018,261.8,5032.94,14
Puppet,1,128.662,55.348,29.148,44.166,0.0,100.0,56.6,13.4,23.8,18.8,1438.33,1.85,11.179,0.014,273.13,5007.47,14
Puppet,2,124.498,56.087,29.579,38.832,0.5,100.0,58.6,13.4,23.1,19.0,1450.01,2.05,11.647,0.016,238.51,5035.2,14
Puppet,2,119.972,54.535,29.479,35.958,0.0,100.0,56.5,14.0,24.3,18.8,1441.0,2.3,12.011,0.019,222.69,5070.57,14
Puppet,2,127.339,58.355,29.51,39.474,0.5,100.0,58.2,13.8,25.6,18.8,1443.18,2.22,11.333,0.017,280.98,5036.81,14
