tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Terraform,2,119.808,49.697,29.235,40.876,1.0,100.0,62.7,12.6,22.7,17.3,1492.98,2.44,18.915,0.031,236.62,5408.71,2
Terraform,2,121.584,51.587,29.225,40.772,1.5,100.0,62.5,12.5,22.5,17.3,1492.84,2.31,18.473,0.029,234.2,5406.02,2
Terraform,2,124.89,52.077,29.28,43.533,1.0,100.0,63.6,12.7,21.8,17.0,1492.85,2.12,18.349,0.026,186.42,5411.51,2
Terraform,1,119.02,49.627,29.498,39.895,1.0,100.0,62.6,12.5,23.1,17.1,1492.92,2.36,18.868,0.03,232.8,5537.19,2
Terraform,2,117.408,49.325,29.381,38.702,1.0,100.0,62.7,12.7,22.5,17.2,1492.97,2.48,18.969,0.032,212.69,5412.57,2
Terraform,2,136.011,53.531,29.465,53.015,1.5,100.0,62.6,12.8,23.0,17.1,1471.37,2.33,17.728,0.028,194.03,5331.88,2
Terraform,2,119.318,49.866,29.288,40.164,0.5,100.0,61.8,12.6,23.6,17.4,1492.94,2.85,18.861,0.036,208.44,5429.08,2
Terraform,2,127.26,55.539,42.511,29.21,1.0,100.0,60.9,12.2,27.7,17.8,1539.08,2.54,15.697,0.026,251.03,5842.97,2
Terraform,1,120.428,52.89,42.311,25.227,0.5,100.0,62.8,12.1,26.9,17.8,1539.05,2.46,16.166,0.026,247.88,5989.11,2
Terraform,2,122.749,54.384,29.493,38.872,0.5,100.0,61.4,12.4,23.8,17.1,1493.02,2.67,17.8,0.032,208.79,5401.81,2
Terraform,1,124.443,55.962,29.728,38.753,0.5,100.0,60.3,11.9,23.6,17.1,1492.96,2.69,17.423,0.031,200.95,5409.76,2
Terraform,1,127.078,57.118,29.675,40.285,0.5,100.0,59.9,12.4,23.3,17.0,1492.97,2.48,17.202,0.029,209.26,5402.71,2
Terraform,1,126.892,56.475,29.786,40.631,0.0,100.0,60.2,11.9,23.2,16.9,1492.97,2.45,17.308,0.028,220.27,5398.01,2
Terraform,1,117.792,53.424,29.984,34.384,0.5,100.0,60.3,12.2,23.5,16.8,1493.0,2.86,17.9,0.034,244.89,5406.27,2
